Area_Name,Year,total,employed,unemployed,unemployment_rate
"Washington County, MN",2011,133346,125454,7892,5.9
"Washington County, MN",2012,133838,126905,6933,5.2
"Washington County, MN",2013,135014,128944,6070,4.5
"Washington County, MN",2014,136346,131262,5084,3.7
"Washington County, MN",2015,137465,133023,4442,3.2
"Washington County, MN",2016,138733,134104,4629,3.3
"Washington County, MN",2017,141557,137267,4290,3
"Washington County, MN",2018,142780,139093,3687,2.6
"Washington County, MN",2019,145409,141287,4122,2.8
"Washington County, MN",2020,146471,138162,8309,5.7
"Washington County, MN",2021,141738,137110,4628,3.3
"Washington County, MN",2022,144655,141362,3293,2.3
