geography,yearText,gradeText,studentsEnrolled,freeLunchProgramNumber,freeLunchProgramPercent,reducedLunchProgramNumber,reducedLunchProgramPercent,totalFreeAndReducedLunchProgramNumber,totalFreeAndReducedLunchProgramPercent,resolution,schoolDistrictText,schoolDistrictNumberText,schoolText,schoolTypeText,schoolNumber,districtType,districtIdText,rucaCode,ruralUrbanLevel,ruralUrbanSublevel,povertyLevel,povertySublevel,gradeLevel,gradeSort,
"Dakota","2017-2018","All grades combined","98","32","32.7","0","0","32","32.7","[object Object]","Academic Arts High","null","Academic Arts High School","Secondary and Senior High Schools","10","7","4119","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Ramsey","2017-2018","All grades combined","313","76","24.3","31","9.9","107","34.2","[object Object]","Afsa High","null","Afsa High School","Secondary and Senior High Schools","10","7","4074","1","Urban","Urban","Low","Mid-low","7-12","-1"
"Stearns","2017-2018","All grades combined","530","62","11.7","26","4.9","88","16.6","[object Object]","Albany","null","Albany Senior High","Secondary and Senior High Schools","60","1","745","10.1","Urban","Urban","Low","Low","9-12","-1"
"Hennepin","2017-2018","All grades combined","41","36","87.8","2","4.9","38","92.7","[object Object]","Minneapolis","null","American Indian Oic","Secondary and Senior High Schools","393","3","1","1","Urban","Urban","High","High","9-12","-1"
"Anoka","2017-2018","All grades combined","1740","143","8.2","75","4.3","218","12.5","[object Object]","Anoka-Hennepin","null","Andover High School","Secondary and Senior High Schools","94","1","11","1","Urban","Urban","Low","Low","9-12","-1"
"Wright","2017-2018","All grades combined","530","70","13.2","39","7.4","109","20.6","[object Object]","Annandale","null","Annandale Senior High","Secondary and Senior High Schools","3","1","876","3","Urban","Urban","Low","Low","9-12","-1"
"Anoka","2017-2018","All grades combined","148","76","51.4","9","6.1","85","57.4","[object Object]","Anoka-Hennepin","null","Anoka-Hennepin Regional High","Secondary and Senior High Schools","110","1","11","1","Urban","Urban","High","Mid-high","10-12","-1"
"Anoka","2017-2018","All grades combined","2299","432","18.8","204","8.9","636","27.7","[object Object]","Anoka-Hennepin","null","Anoka High School","Secondary and Senior High Schools","1","1","11","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Stearns","2017-2018","All grades combined","1426","750","52.6","108","7.6","858","60.2","[object Object]","St. Cloud","null","Apollo Senior High","Secondary and Senior High Schools","57","1","742","1","Urban","Urban","High","Mid-high","9-12","-1"
"Dakota","2017-2018","All grades combined","1648","466","28.3","144","8.7","610","37","[object Object]","Rosemount-Apple Valley-Eagan","null","Apple Valley Senior High","Secondary and Senior High Schools","97","1","196","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Hennepin","2017-2018","All grades combined","83","70","84.3","0","0","70","84.3","[object Object]","Augsburg Fairview Academy","null","Augsburg Fairview Academy","Secondary and Senior High Schools","10","7","4111","1","Urban","Urban","High","High","9-12","-1"
"Ramsey","2017-2018","All grades combined","171","28","16.4","12","7","40","23.4","[object Object]","Avalon","null","Avalon School","Secondary and Senior High Schools","10","7","4075","1","Urban","Urban","Low","Low","9-12","-1"
"Clay","2017-2018","All grades combined","392","33","8.4","19","4.8","52","13.3","[object Object]","Barnesville","null","Barnesville Secondary","Secondary and Senior High Schools","40","1","146","2","Urban","Urban","Low","Low","7-12","-1"
"Sherburne","2017-2018","All grades combined","883","67","7.6","63","7.1","130","14.7","[object Object]","Becker","null","Becker Senior High","Secondary and Senior High Schools","20","1","726","2","Urban","Urban","Low","Low","9-12","-1"
"Scott","2017-2018","All grades combined","469","52","11.1","23","4.9","75","16","[object Object]","Belle Plaine","null","Belle Plaine Senior High","Secondary and Senior High Schools","20","1","716","2","Urban","Urban","Low","Low","9-12","-1"
"Sherburne","2017-2018","All grades combined","901","123","13.7","68","7.5","191","21.2","[object Object]","Big Lake","null","Big Lake Senior High","Secondary and Senior High Schools","20","1","727","2","Urban","Urban","Low","Low","9-12","-1"
"Anoka","2017-2018","All grades combined","2886","481","16.7","245","8.5","726","25.2","[object Object]","Anoka-Hennepin","null","Blaine High School","Secondary and Senior High Schools","91","1","11","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Isanti","2017-2018","All grades combined","316","85","26.9","36","11.4","121","38.3","[object Object]","Braham","null","Braham Area Secondary","Secondary and Senior High Schools","1","1","314","2","Urban","Urban","Low","Mid-low","7-12","-1"
"Hennepin","2017-2018","All grades combined","573","381","66.5","89","15.5","470","82","[object Object]","Brooklyn Center","null","Brooklyn Center High","Secondary and Senior High Schools","12","1","286","1","Urban","Urban","High","High","9-12","-1"
"Hennepin","2017-2018","All grades combined","373","263","70.5","69","18.5","332","89","[object Object]","Brooklyn Center","null","Brooklyn Center Middle","Secondary and Senior High Schools","12","1","286","1","Urban","Urban","High","High","6-8","-1"
"Wright","2017-2018","All grades combined","1860","255","13.7","132","7.1","387","20.8","[object Object]","Buffalo-Hanover-Montrose","null","Buffalo Senior High","Secondary and Senior High Schools","40","1","877","2","Urban","Urban","Low","Low","9-12","-1"
"Dakota","2017-2018","All grades combined","2534","814","32.1","226","8.9","1040","41","[object Object]","Burnsville","null","Burnsville Senior High","Secondary and Senior High Schools","14","1","191","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Olmsted","2017-2018","All grades combined","584","43","7.4","23","3.9","66","11.3","[object Object]","Byron","null","Byron Senior High School","Secondary and Senior High Schools","20","1","531","2","Urban","Urban","Low","Low","9-12","-1"
"Goodhue","2017-2018","All grades combined","637","80","12.6","57","8.9","137","21.5","[object Object]","Cannon Falls","null","Cannon Falls Secondary","Secondary and Senior High Schools","2","1","252","7.1","Urban","Urban","Low","Low","6-12","-1"
"Ramsey","2017-2018","All grades combined","76","59","77.6","1","1.3","60","78.9","[object Object]","Career Pathways","null","Career Pathways","Secondary and Senior High Schools","10","7","4237","1","Urban","Urban","High","High","KG-6","-1"
"Anoka","2017-2018","All grades combined","2006","211","10.5","77","3.8","288","14.4","[object Object]","Centennial","null","Centennial High School","Secondary and Senior High Schools","164","1","12","1","Urban","Urban","Low","Low","9-12","-1"
"Hennepin","2017-2018","All grades combined","35","33","94.3","0","0","33","94.3","[object Object]","Minneapolis","null","Center School","Secondary and Senior High Schools","361","3","1","1","Urban","Urban","High","High","7-12","-1"
"Ramsey","2017-2018","All grades combined","1785","760","42.6","101","5.7","861","48.2","[object Object]","St. Paul","null","Central Senior High","Secondary and Senior High Schools","210","1","625","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Carver","2017-2018","All grades combined","346","29","8.4","14","4","43","12.4","[object Object]","Central","null","Central Senior High","Secondary and Senior High Schools","20","1","108","2","Urban","Urban","Low","Low","9-12","-1"
"Olmsted","2017-2018","All grades combined","1527","281","18.4","72","4.7","353","23.1","[object Object]","Rochester","null","Century Senior High","Secondary and Senior High Schools","305","1","535","1","Urban","Urban","Low","Low","9-12","-1"
"Anoka","2017-2018","All grades combined","2825","652","23.1","284","10.1","936","33.1","[object Object]","Anoka-Hennepin","null","Champlin Park High School","Secondary and Senior High Schools","192","1","11","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Carver","2017-2018","All grades combined","1629","78","4.8","33","2","111","6.8","[object Object]","Eastern Carver County","null","Chanhassen High School","Secondary and Senior High Schools","64","1","112","1","Urban","Urban","Low","Low","9-12","-1"
"Carver","2017-2018","All grades combined","1477","252","17.1","115","7.8","367","24.8","[object Object]","Eastern Carver County","null","Chaska High School","Secondary and Senior High Schools","60","1","112","1","Urban","Urban","Low","Low","9-12","-1"
"Olmsted","2017-2018","All grades combined","407","63","15.5","24","5.9","87","21.4","[object Object]","Chatfield","null","Chatfield Secondary","Secondary and Senior High Schools","1","1","227","2","Urban","Urban","Low","Low","7-12","-1"
"Chisago","2017-2018","All grades combined","1093","105","9.6","48","4.4","153","14","[object Object]","Chisago Lakes","null","Chisago Lakes Senior High","Secondary and Senior High Schools","4","1","2144","2","Urban","Urban","Low","Low","9-12","-1"
"Ramsey","2017-2018","All grades combined","112","102","91.1","1","0.9","103","92","[object Object]","City Academy","null","City Academy","Secondary and Senior High Schools","10","7","4000","1","Urban","Urban","High","High","10-12","-1"
"Anoka","2017-2018","All grades combined","936","604","64.5","119","12.7","723","77.2","[object Object]","Columbia Heights","null","Columbia Heights Senior High","Secondary and Senior High Schools","16","1","13","1","Urban","Urban","High","High","9-12","-1"
"Ramsey","2017-2018","All grades combined","254","176","69.3","48","18.9","224","88.2","[object Object]","Community Of Peace Academy","null","Community Of Peace Academy High","Secondary and Senior High Schools","11","7","4015","1","Urban","Urban","High","High","9-12","-1"
"Ramsey","2017-2018","All grades combined","1291","772","59.8","83","6.4","855","66.2","[object Object]","St. Paul","null","Como Park Senior High","Secondary and Senior High Schools","212","1","625","1","Urban","Urban","High","Mid-high","9-12","-1"
"Anoka","2017-2018","All grades combined","2067","670","32.4","243","11.8","913","44.2","[object Object]","Anoka-Hennepin","null","Coon Rapids High School","Secondary and Senior High Schools","2","1","11","1","Urban","Urban","Low","Mid-low","9-12","-1"
"Ramsey","2017-2018","All grades combined","433","267","61.7","40","9.2","307","70.9","[object Object]","St. Paul","null","Creative Arts Secondary School","Secondary and Senior High Schools","211","1","625","1","Urban","Urban","High","Mid-high","6-12","-1"
"Wright","2017-2018","All grades combined","782","46","5.9","23","2.9","69","8.8","[object Object]","Delano","null","Delano Senior High","Secondary and Senior High Schools","20","1","879","2","Urban","Urban","Low","Low","9-12","-1"
"St. Louis","2017-2018","All grades combined","802","332","41.4","94","11.7","426","53.1","[object Object]","Duluth","null","Denfeld High School","Secondary and Senior High Schools","215","1","709","1","Urban","Urban","High","Mid-high","9-12","-1"
"Clay","2017-2018","All grades combined","408","43","10.5","22","5.4","65","15.9","[object Object]","Dilworth-Glyndon-Felton","null","Dilworth-Glyndon-Felton Senior High","Secondary and Senior High Schools","4","1","2164","2","Urban","Urban","Low","Low","9-12","-1"
